Archive:  /tmp/PRO4X4_Rig_Builder_Alpha26_WF5_QA_Push_19_pre.zip
    testing: pro4x4-rig-builder-alpha26-wf5-push19/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/audit-store.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_42_WF5_QA_GATE_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/y62-canonical-candidates.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/WF1_RUN_02_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/DATABASE_SEED.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/quote.html   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_16_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/merged-app.js.pre_push2   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_19_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_45_WF5_QA_GATE_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_11_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/quote-contract.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/parallel-workstreams-alpha25.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/server-contract-alpha12.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/hosted-alpha13.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf3-y62-f34-transparent-candidate-alpha26.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/asset-ingestion-alpha15.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/alpha26-wf4-persisted-visual-governance.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/render-state-telemetry-alpha22.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf5-alpha26-acceptance-gate.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/alpha26-parallel-push04.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/alpha26-wf4-review-evidence-visibility.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/asset-vault-alpha16.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/smoke-alpha12.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/merged-project-handoff-alpha24.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/asset-vault-lifecycle-alpha17.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf1-save-share-integrity-alpha26.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf5-alpha26-promotion-path.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf5-visual-governance-rejection-alpha26.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/browser-journey.html   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/render-contract-alpha21.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/security-alpha12.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/asset-delivery-storage-alpha19.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/alpha26-parallel-push05.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf5-alpha26-latest-candidates.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf2-ranger-support-components-alpha26.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/render-resolver-alpha20.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/alpha26-parallel-visual-governance.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/browser-journey-alpha12.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/multi-vehicle-pipeline-alpha24.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/asset-registry-alpha14.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf3-y62-f34-candidate-alpha26.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/render-readiness-alpha23.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/merged-alpha23.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf1-conditional-fitment-guidance-alpha26.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/client-journey-alpha12.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/asset-version-lineage-alpha18.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/wf2-ranger-catalogue-alpha26.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/alpha26-parallel-push03.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/fixtures/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/fixtures/transparent-y62-f34.png   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/tests/alpha26-parallel-push02.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/workstreams.html   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_26_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/merged-project-contract.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_28_PARALLEL_PUSH03_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/audit.html   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/readiness.html   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/asset-inspector.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_47_WF5_QA_GATE_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_28_WF4_PERSISTED_VISUAL_GOVERNANCE_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/auth.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/asset-registry.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/data-ranger.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/ALPHA26_IMPLEMENTATION_BOARD.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/WORKFLOW.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/index.html   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_32_WF3_Y62_F34_TRANSPARENT_CANDIDATE_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/migration.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/merged.css   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/backend-client.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/share.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/render-contracts-y62.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/product-visual-contract.js.pre_push2   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/app.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/PUSH_37_WF5_QA_GATE_REPORT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/5E67BCCD-7780-4D9E-B83F-418F253D64B3.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/IMG_4030.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/IMG_4512.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/IMG_4508.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/IMG_4028.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/IMG_3745.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/IMG_3762.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/IMG_4540.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/references/y62-owner/IMG_6320.jpeg   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/admin.js   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/ALPHA26_PLANNING_CHECKPOINT.md   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/npm-check.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-acceptance.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/zip-integrity-precheck.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/npm-check.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/wf5-acceptance.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/html-dependency-sweep.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/render-resolver.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/wf5-visual-safety.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/wf5-promotion.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/wf5-promotion.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/npm-test.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/npm-test.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/wf5-latest.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/diff-vs-push09.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/npm-check.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/wf5-acceptance.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/wf5-visual-safety.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/render-resolver.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/test-gate.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/static-verification.json   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/wf5-latest.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push10/test-gate.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/WF5_COMBINED_PROMOTION_GATE.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/WF5_NPM_CHECK.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/render-resolver.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-promotion.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-promotion.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/npm-test.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/WF5_HTML_DEPENDENCIES.json   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/WF5_INTEGRATION_MANIFEST.json   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/npm-test.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-latest-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/zip-integrity-precheck.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/render-resolver-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/npm-test-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/npm-check-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/static-verification.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-latest-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-promotion-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-latest-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-promotion-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/diff-vs-push16.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-visual-safety-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/render-resolver-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-acceptance-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-visual-safety-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-visual-safety-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/npm-check-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-promotion-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-latest-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/npm-check-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-acceptance-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/render-resolver-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-visual-safety-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/render-resolver-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/npm-check-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-acceptance-targeted.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/npm-test-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/test-gate.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-promotion-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/static-verification.txt   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-acceptance-targeted.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/npm-test-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/npm-test-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/test-gate.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-acceptance-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/wf5-acceptance-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push17/zip-integrity-precheck.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/diff-vs-push17.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-latest-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/zip-integrity-precheck.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/render-resolver-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/npm-test-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/npm-check-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/static-verification.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-latest-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-promotion-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-latest-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-promotion-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-visual-safety-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/render-resolver-before.exit   OK
